               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10162,            0.024857,            0.062349,           0.0031498,             0.74506,            0.022785,           0.0090886,            0.061588,           0.0099702,            0.046935,            0.070714,            0.003254,            0.003254
                   1,            0.075706,             0.02914,            0.050417,             0.67978,             0.19126,            0.083104,            0.029261,            0.053895,           0.0079175,            0.041124,            0.040698,            0.006571,            0.006571
                   2,            0.064929,            0.027891,            0.047673,             0.59294,             0.13905,            0.066974,            0.030844,            0.060081,           0.0074808,              0.0355,            0.010665,           0.0098715,           0.0098715
                   3,            0.059748,            0.024538,            0.043712,             0.51417,              0.3022,             0.18784,             0.11177,            0.045505,           0.0066247,            0.037312,           0.0099258,           0.0099258,           0.0099258
                   4,            0.057021,            0.024002,            0.041633,             0.70707,             0.17964,             0.20222,             0.12611,              0.0492,           0.0067921,             0.03275,           0.0099258,           0.0099258,           0.0099258
                   5,            0.057225,            0.024364,            0.040249,             0.66131,             0.22599,             0.17709,            0.096733,            0.041455,           0.0060323,            0.031974,            0.009901,            0.009901,            0.009901
                   6,            0.052062,            0.023264,            0.039076,             0.81051,             0.16525,             0.19646,             0.11867,            0.042842,           0.0070434,            0.034482,           0.0098763,           0.0098763,           0.0098763
                   7,            0.048659,            0.022555,            0.035226,              0.8304,             0.20474,             0.24114,             0.13702,            0.038861,           0.0065367,            0.032504,           0.0098515,           0.0098515,           0.0098515
                   8,            0.052631,            0.022782,            0.032488,             0.75023,             0.23246,             0.24044,             0.13137,            0.041405,           0.0065418,            0.031088,           0.0098268,           0.0098268,           0.0098268
                   9,            0.050205,            0.022845,            0.033496,             0.78279,             0.19114,             0.27927,              0.1725,             0.04075,           0.0069883,            0.037053,            0.009802,            0.009802,            0.009802
                  10,            0.050458,            0.023252,            0.030127,             0.73918,             0.12173,            0.082532,            0.027724,            0.046714,            0.011536,            0.041921,           0.0097773,           0.0097773,           0.0097773
                  11,            0.046459,            0.022116,            0.030273,             0.84406,             0.16689,             0.18377,              0.1143,            0.038886,           0.0086412,            0.037077,           0.0097525,           0.0097525,           0.0097525
                  12,            0.046233,            0.021339,            0.031329,             0.77721,             0.13687,             0.16492,            0.091508,            0.051837,           0.0064197,             0.04531,           0.0097278,           0.0097278,           0.0097278
                  13,             0.04702,              0.0213,            0.031304,             0.87074,             0.24307,             0.37734,             0.27183,             0.03239,           0.0057746,            0.034052,            0.009703,            0.009703,            0.009703
                  14,            0.049318,            0.022141,            0.029557,             0.85285,             0.13642,             0.20683,             0.10825,            0.041785,            0.008371,            0.038453,           0.0096783,           0.0096783,           0.0096783
                  15,            0.045874,            0.022724,            0.026535,              0.6994,             0.26949,             0.36681,              0.2012,            0.038969,           0.0065661,            0.026633,           0.0096535,           0.0096535,           0.0096535
                  16,            0.049439,            0.022268,            0.026319,             0.54895,             0.38698,             0.46785,             0.34462,             0.03469,           0.0056673,             0.02746,           0.0096288,           0.0096288,           0.0096288
                  17,            0.045765,            0.020808,             0.02919,              0.5008,             0.36225,             0.39822,             0.25964,            0.031949,           0.0062187,            0.027291,            0.009604,            0.009604,            0.009604
                  18,            0.044007,            0.021873,            0.026099,              0.5814,             0.41139,             0.45539,             0.30287,            0.031386,           0.0058244,            0.026614,           0.0095793,           0.0095793,           0.0095793
                  19,            0.045111,            0.020857,            0.024584,             0.73229,             0.19155,             0.22005,             0.12285,            0.041389,            0.010111,            0.033331,           0.0095545,           0.0095545,           0.0095545
                  20,            0.047917,            0.022131,            0.023945,             0.49599,             0.35115,             0.33175,             0.18724,            0.040395,            0.009291,            0.031847,           0.0095298,           0.0095298,           0.0095298
                  21,            0.044611,            0.021317,            0.026179,             0.56473,             0.36265,             0.31843,             0.15703,             0.03945,           0.0080393,            0.030825,            0.009505,            0.009505,            0.009505
                  22,            0.043395,            0.020375,            0.024291,             0.79979,             0.39432,               0.509,             0.33462,            0.029026,           0.0056727,            0.021983,           0.0094803,           0.0094803,           0.0094803
                  23,            0.042837,            0.021667,            0.023135,             0.61481,             0.58076,              0.6127,             0.42807,            0.027614,           0.0052475,            0.018324,           0.0094555,           0.0094555,           0.0094555
                  24,             0.04091,            0.020071,            0.025204,             0.58001,             0.51847,             0.48996,             0.34851,            0.031253,           0.0054405,            0.017331,           0.0094307,           0.0094307,           0.0094307
                  25,            0.041599,            0.019907,            0.022518,             0.51899,             0.56219,             0.56638,              0.3605,            0.033166,           0.0059387,            0.018061,            0.009406,            0.009406,            0.009406
                  26,            0.044394,            0.021352,            0.022271,             0.61815,             0.43382,             0.54445,             0.32228,            0.033242,           0.0061281,            0.019001,           0.0093813,           0.0093813,           0.0093813
                  27,            0.040752,            0.020585,            0.022523,             0.59508,             0.48189,             0.55616,             0.37176,            0.034164,           0.0056285,            0.023263,           0.0093565,           0.0093565,           0.0093565
                  28,            0.043543,            0.020377,            0.020334,             0.48193,             0.46366,             0.44161,             0.29558,            0.032387,           0.0061079,            0.026483,           0.0093317,           0.0093317,           0.0093317
                  29,            0.042497,            0.020764,            0.023203,              0.5764,             0.59259,             0.54782,             0.37621,             0.03344,           0.0057305,            0.015173,            0.009307,            0.009307,            0.009307
                  30,            0.041047,            0.020108,            0.021406,             0.88944,             0.32659,             0.52506,             0.35386,            0.036362,           0.0067747,            0.025332,           0.0092823,           0.0092823,           0.0092823
                  31,            0.043525,              0.0212,            0.021387,             0.71667,             0.47073,             0.62314,             0.46448,             0.03001,           0.0053763,            0.020926,           0.0092575,           0.0092575,           0.0092575
                  32,            0.040408,            0.018957,            0.022671,             0.62382,              0.5574,             0.61889,             0.45852,            0.038047,           0.0053048,            0.015307,           0.0092327,           0.0092327,           0.0092327
                  33,            0.041124,            0.021184,            0.019336,             0.68765,             0.55216,             0.60014,             0.45061,            0.038784,           0.0052006,            0.017089,            0.009208,            0.009208,            0.009208
                  34,            0.043038,            0.019172,            0.019726,              0.6771,             0.51102,              0.6661,              0.4363,            0.032327,             0.00568,             0.02062,           0.0091833,           0.0091833,           0.0091833
                  35,            0.043807,            0.020682,            0.018949,             0.68624,             0.42343,             0.53857,             0.35942,            0.031321,           0.0060585,            0.025148,           0.0091585,           0.0091585,           0.0091585
                  36,            0.043291,            0.019461,            0.020966,             0.55078,             0.70277,             0.66237,             0.44682,            0.030005,           0.0057934,            0.016481,           0.0091337,           0.0091337,           0.0091337
                  37,            0.043113,            0.019181,            0.022951,               0.641,             0.41263,             0.46843,             0.30356,            0.042653,           0.0070917,            0.022889,            0.009109,            0.009109,            0.009109
                  38,             0.04124,            0.020745,            0.018814,             0.70988,             0.46249,             0.55742,              0.3688,            0.030968,           0.0061624,            0.016186,           0.0090843,           0.0090843,           0.0090843
                  39,            0.041653,            0.020009,            0.021299,             0.77629,             0.40687,             0.48511,             0.32413,            0.032654,           0.0055994,            0.023859,           0.0090595,           0.0090595,           0.0090595
